HEI Name,Campus
University of the East,Caloocan
University of the East,Manila
University of the East,Ramon Magsaysay Memorial Medical Center
University of the Philippines,Baguio
University of the Philippines,Diliman
University of the Philippines,Diliman (Pampanga)
University of the Philippines,Los Baños
University of the Philippines,Manila
University of the Philippines,Mindanao
University of the Philippines,Open University
University of the Philippines,Visayas
Upi Agricultural School,Provincial Technical Institute of Agriculture
Visayas State University,Isabel Campus
Visayas State University,Tolosa Campus
Visayas State University,Villaba Campus
Visayas State University-Alang,Alang Campus
WCC Aeronautical & Technological College,North Manila
Wesleyan University,Cabanatuan
Wesleyan University,Aurora
West Point College,Magallanes
West Visayas State University,CAF Lambunao Campus
West Visayas State University,Calinog Campus
West Visayas State University,Himamaylan Campus Extension
West Visayas State University,Janiuay Campus
West Visayas State University,Lambunao Campus
West Visayas State University,Main
West Visayas State University,Pototan Campus
Western Mindanao State University,Alicia
Western Mindanao State University,Curuan
Western Mindanao State University,Diplahan
Western Mindanao State University,Imelda
Western Mindanao State University,Ipil
Western Mindanao State University,Mabuhay
Western Mindanao State University,Malangas
Western Mindanao State University,Naga
Western Mindanao State University,Olutanga
Western Mindanao State University,Pagadian
Western Mindanao State University,Siay
Western Mindanao State University,Tungawan
Western Philippines University,Busuanga
Western Philippines University,Culion
Western Philippines University,El Nido
Western Philippines University,Main
Western Philippines University,Puerto Princesa
Western Philippines University,Quezon
Western Philippines University,Rio Tuba
World Citi Colleges,Antipolo City
World Citi Colleges,Quezon City
Worldtech Resources Foundation,Iriga City
Worldtech Resources Foundation,Naga City
Zamboanga Peninsula Polytechnic State University,Kabasalan
Zamboanga del sur Provincial Government College,Dimataling campus
Zamboanga del sur Provincial Government College,Pagadian campus
i-Link College of Science and Technology,Midsayap
"iTech College Bago City, Inc.",Bago City
